,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
104328,10,1,60257.76,0,16103.0,0.0,0,0.0,60257.76,0,0
3449124,257,0,69689.05,0,5237784.07,5307473.12,0,439297.91,369608.85,0,0
735084,38,0,225989.06,0,99504.34,325493.41,0,461021.41,235032.35,0,0
2240823,186,0,227393.19,0,4966010.09,5193403.29,0,3339450.77,3112057.58,0,0
5613486,395,2,51507.26,0,0.0,0.0,0,251543.85,303051.11,0,0
4527864,326,0,138752.15,0,2482681.58,2621433.73,0,1009106.71,870354.56,0,0
1467253,140,0,13117.12,0,499414.98,486297.85,0,0.0,0.0,0,0
627722,34,0,8679.05,0,0.0,0.0,0,0.0,0.0,0,0
2254802,187,0,22295.99,0,862.0,0.0,0,0.0,0.0,0,0
653635,35,1,60172.04,0,0.0,0.0,0,317480.38,377652.42,0,0
5422195,378,1,123853.03,0,0.0,0.0,0,493119.58,750219.67,0,0
3369690,254,0,2343.49,0,0.0,0.0,0,0.0,0.0,0,0
460257,19,0,17451.77,0,25274.0,7822.23,0,0.0,0.0,0,0
5726671,399,1,255530.02,0,119317.0,0.0,0,1677988.48,1933518.51,0,0
6356175,709,1,84346.35,0,33813.0,0.0,0,0.0,84346.35,0,0
332471,16,0,303777.19,0,3559422.51,3863199.7,0,566643.66,354940.44,0,0
3379435,254,1,101137.12,0,198986.0,97848.88,0,0.0,101137.12,0,0
3105037,235,0,181201.91,0,20968.0,202169.91,0,975058.04,793856.14,0,0
2017298,180,1,36466.23,0,3047.0,0.0,0,0.0,36466.23,0,0
6261577,610,0,22483.79,0,28065.25,5581.46,0,0.0,0.0,0,0
434455,18,0,3765.38,0,144.0,0.0,0,0.0,0.0,0,0
6140486,544,1,111245.09,0,10144.0,0.0,0,145569.56,256814.65,0,0
793352,40,0,74264.24,0,25800.0,100064.24,0,176018.65,101754.41,0,0
4339026,308,0,8848.8,0,0.0,0.0,0,0.0,0.0,0,0
4584434,328,0,19912.7,0,0.0,0.0,0,0.0,0.0,0,0
4229357,306,0,44644.57,0,2736657.09,2781301.65,0,78135.1,21071.91,0,0
